Rank,Institution,city,Continent,Founded,Affiliation,DeliveryMode,Enrollment,link,Country,ContinentID,CountryID,LocationID,AffiliationID,DeliveryModeID,InstitutionID,RankingID
1,Indira Gandhi National Open University,New Delhi,Asia,1985,Public,Distance/In-Person,7140000,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University,India,CO01,CN01,LO01,AF01,DM01,IN01,RA001
2,"National University, Bangladesh",Gazipur,Asia,1992,Public,In-Person,3425832,"https://en.wikipedia.org/wiki/National_University,_Bangladesh",Bangladesh,CO01,CN02,LO02,AF01,DM02,IN02,RA002
3,Anadolu University,Eskişehir,Asia,1958,Public,Distance/In-Person,1974343,https://en.wikipedia.org/wiki/Anadolu_University,Turkey,CO01,CN03,LO03,AF01,DM01,IN03,RA003
4,California Community Colleges,California,North America,1967,Public,In-Person,1800000,https://en.wikipedia.org/wiki/California_Community_Colleges,United States,CO02,CN04,LO04,AF01,DM02,IN04,RA004
5,Islamic Azad University,Iran,Asia,1982,Private,In-Person,1778000,https://en.wikipedia.org/wiki/Islamic_Azad_University,Iran,CO01,CN05,LO05,AF02,DM02,IN05,RA005
6,Allama Iqbal Open University,Islamabad,Asia,1974,Public,Distance/In-Person,1027000,https://en.wikipedia.org/wiki/Allama_Iqbal_Open_University,Pakistan,CO01,CN06,LO06,AF01,DM01,IN06,RA006
7,"Laureate Education, Inc.",International,Global,1999,Private,Distance/In-Person,875000,"https://en.wikipedia.org/wiki/Laureate_Education,_Inc.",International,CO03,CN07,LO07,AF02,DM01,IN07,RA007
8,Bangladesh Open University,Gazipur,Asia,1992,Public,Distance,650000,https://en.wikipedia.org/wiki/Bangladesh_Open_University,Bangladesh,CO01,CN02,LO02,AF01,DM03,IN08,RA008
9,Universitas Terbuka,Jakarta,Asia,1984,Public,Distance,646467,https://en.wikipedia.org/wiki/Universitas_Terbuka,Indonesia,CO01,CN08,LO08,AF01,DM03,IN09,RA009
10,National Technological Institute of Mexico,Mexico,North America,1948,Public,In-Person,620000,https://en.wikipedia.org/wiki/National_Technological_Institute_of_Mexico,Mexico,CO02,CN09,LO09,AF01,DM02,IN10,RA010
11,Savitribai Phule Pune University,"Pune, Maharashtra",Asia,1948,Public,In-Person,665000,https://en.wikipedia.org/wiki/Savitribai_Phule_Pune_University,India,CO01,CN01,LO10,AF01,DM02,IN11,RA011
12,Chaudhary Charan Singh University,"Meerut, Uttar Pradesh",Asia,1965,Public,In-Person,560000,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_University,India,CO01,CN01,LO11,AF01,DM02,IN12,RA012
13,University of Mumbai,"Mumbai, Maharashtra",Asia,1857,Public,In-Person,549432,https://en.wikipedia.org/wiki/University_of_Mumbai,India,CO01,CN01,LO12,AF01,DM02,IN13,RA013
14,Ramkhamhaeng University,Bangkok,Asia,1971,Public,In-Person,525000,https://en.wikipedia.org/wiki/Ramkhamhaeng_University,Thailand,CO01,CN10,LO13,AF01,DM02,IN14,RA014
15,National Open University of Nigeria,Nigeria,Africa,2002,Public,Distance,515000,https://en.wikipedia.org/wiki/National_Open_University_of_Nigeria,Nigeria,CO04,CN11,LO14,AF01,DM03,IN15,RA015
16,California State University system,California,North America,1857,Public,In-Person,457992,https://en.wikipedia.org/wiki/California_State_University,United States,CO02,CN04,LO04,AF01,DM02,IN16,RA016
17,Tribhuvan University,Kirtipur,Asia,1959,Public,In-Person,454065,https://en.wikipedia.org/wiki/Tribhuvan_University,Nepal,CO01,CN12,LO15,AF01,DM02,IN17,RA017
18,University of the Punjab,"Lahore, Punjab",Asia,1882,Public,In-Person,450000,https://en.wikipedia.org/wiki/University_of_the_Punjab,Pakistan,CO01,CN06,LO16,AF01,DM02,IN18,RA018
19,Dr. B R Ambedkar Open University,Telangana,Asia,1982,Public,Distance,450000,https://en.wikipedia.org/wiki/Andhra_Pradesh_Open_University,India,CO01,CN01,LO17,AF01,DM03,IN19,RA019
20,State University System of Florida,Florida,North America,1954,Public,In-Person,430000,https://en.wikipedia.org/wiki/State_University_System_of_Florida,United States,CO02,CN04,LO18,AF01,DM02,IN20,RA020
